MNTH,CIRCLE,DIVNAME,SDNAME,SECNAME,AREANAME,CAT,CATDESC,TOTSERVICES,BILLDSRVS,UNITS,LOAD,MNTH_2019-05-31,MNTH_nan,CIRCLE_encoded,DIVNAME_encoded,CATDESC_AGRICULTURAL,CATDESC_nan,CAT_std,TOTSERVICES_std,BILLDSRVS_std,UNITS_std,LOAD_std,UNITS_log,CAT_TOTSERVICES_ratio,CAT_BILLDSRVS_ratio,CAT_UNITS_ratio,CAT_LOAD_ratio,TOTSERVICES_BILLDSRVS_ratio
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,GOLLA GUDA,5,AGRICULTURAL,44,44.0,0.0,165.0,True,False,0.0,11.0,True,False,0.0,-0.6941524604939617,-0.6817853843926227,-0.21825327419646498,-0.6917416688881238,0.0,0.11363636363636363,0.11363636363636363,0.004,0.030303030303030304,1.0
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,GOLLAPALLY,5,AGRICULTURAL,119,97.0,0.0,446.25,True,False,0.0,11.0,True,False,0.0,-0.24338371729079467,-0.34938852540538595,-0.21825327419646498,-0.23701299991884378,0.0,0.04201680672268908,0.05154639175257732,0.004,0.011204481792717087,1.2268041237113403
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,GUNDAL,5,AGRICULTURAL,278,274.0,0.0,1042.5,True,False,0.0,11.0,True,False,0.0,0.7122460182999195,0.7606915508350085,-0.21825327419646498,0.7270117782960299,0.0,0.017985611510791366,0.01824817518248175,0.004,0.004796163069544364,1.0145985401459854
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,HASTEPUR,5,AGRICULTURAL,31,31.0,0.0,116.25,True,False,0.0,11.0,True,False,0.0,-0.7722857093158441,-0.763316689427228,-0.21825327419646498,-0.770561304842799,0.0,0.16129032258064516,0.16129032258064516,0.004,0.043010752688172046,1.0
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,HUSSAINPOOR,5,AGRICULTURAL,30,26.0,0.0,112.5,True,False,0.0,11.0,True,False,0.0,-0.7782959592252195,-0.7946748836713069,-0.21825327419646498,-0.7766243537623895,0.0,0.16666666666666666,0.19230769230769232,0.004,0.044444444444444446,1.1538461538461537
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,IBRAHIMPALLY,5,AGRICULTURAL,114,108.0,0.0,427.5,True,False,0.0,11.0,True,False,0.0,-0.2734349668376725,-0.2804004980684123,-0.21825327419646498,-0.26732824451679577,0.0,0.043859649122807015,0.046296296296296294,0.004,0.011695906432748537,1.0555555555555556
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,JALAGUDA,5,AGRICULTURAL,56,56.0,0.0,210.0,True,False,0.0,11.0,True,False,0.0,-0.622029461581455,-0.6065257182068332,-0.21825327419646498,-0.618985081853039,0.0,0.08928571428571429,0.08928571428571429,0.004,0.023809523809523808,1.0
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,KAMMETTA,5,AGRICULTURAL,294,282.0,10648.0,1144.88,True,False,0.0,11.0,True,False,0.0,0.8084100168499285,0.8108646616255347,8.757860618686834,0.8925410978660742,9.273221270015384,0.017006802721088437,0.01773049645390071,0.0004695717505634861,0.0043672699322199705,1.0425531914893618
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,KANDVADA,5,AGRICULTURAL,503,498.0,0.0,1886.25,True,False,0.0,11.0,True,False,0.0,2.064552247909421,2.1655386529697447,-0.21825327419646498,2.0911977852038697,0.0,0.009940357852882704,0.010040160642570281,0.004,0.0026507620941020544,1.0100401606425702
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,KESARAM(C),5,AGRICULTURAL,148,146.0,0.0,555.0,True,False,0.0,11.0,True,False,0.0,-0.06908646991890338,-0.042078221813412364,-0.21825327419646498,-0.06118458125072217,0.0,0.033783783783783786,0.03424657534246575,0.004,0.009009009009009009,1.0136986301369864
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,KHANAPOOR,5,AGRICULTURAL,171,167.0,0.0,638.25,True,False,0.0,11.0,True,False,0.0,0.06914927799673452,0.08962619401171917,-0.21825327419646498,0.07341510476418472,0.0,0.029239766081871343,0.029940119760479042,0.004,0.007833920877399139,1.0239520958083832
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,KISHTAPURI,5,AGRICULTURAL,21,20.0,0.0,78.75,True,False,0.0,11.0,True,False,0.0,-0.8323882084095996,-0.8323047167642016,-0.21825327419646498,-0.831191794038703,0.0,0.23809523809523808,0.25,0.004,0.06349206349206349,1.05
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,KOTHA PALLY,5,AGRICULTURAL,188,187.0,0.0,705.0,True,False,0.0,11.0,True,False,0.0,0.17132352645611906,0.21505897098803492,-0.21825327419646498,0.18133737553289386,0.0,0.026595744680851064,0.026737967914438502,0.004,0.0070921985815602835,1.0053475935828877
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,KOWKUNTLA,5,AGRICULTURAL,188,181.0,0.0,705.0,True,False,0.0,11.0,True,False,0.0,0.17132352645611906,0.1774291378951402,-0.21825327419646498,0.18133737553289386,0.0,0.026595744680851064,0.027624309392265192,0.004,0.0070921985815602835,1.0386740331491713
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,KUMMERA,5,AGRICULTURAL,157,155.0,0.0,590.0,True,False,0.0,11.0,True,False,0.0,-0.014994220734523334,0.014366527825929724,-0.21825327419646498,-0.004596124667878429,0.0,0.03184713375796178,0.03225806451612903,0.004,0.00847457627118644,1.0129032258064516
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,LAXMI GUDA,5,AGRICULTURAL,29,29.0,0.0,108.75,True,False,0.0,11.0,True,False,0.0,-0.7843062091345951,-0.7758599671248595,-0.21825327419646498,-0.7826874026819798,0.0,0.1724137931034483,0.1724137931034483,0.004,0.04597701149425287,1.0
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,MADI KATTA,5,AGRICULTURAL,27,27.0,0.0,99.75,True,False,0.0,11.0,True,False,0.0,-0.7963267089533462,-0.7884032448224911,-0.21825327419646498,-0.7972387200889968,0.0,0.18518518518518517,0.18518518518518517,0.004,0.05012531328320802,1.0
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,MALKAPOOR,5,AGRICULTURAL,242,240.0,0.0,907.5,True,False,0.0,11.0,True,False,0.0,0.4958770215623994,0.5474558299752716,-0.21825327419646498,0.5087420171907755,0.0,0.02066115702479339,0.020833333333333332,0.004,0.005509641873278237,1.0083333333333333
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,MALLA REDDY GUDA,5,AGRICULTURAL,30,28.0,0.0,112.5,True,False,0.0,11.0,True,False,0.0,-0.7782959592252195,-0.7821316059736753,-0.21825327419646498,-0.7766243537623895,0.0,0.16666666666666666,0.17857142857142858,0.004,0.044444444444444446,1.0714285714285714
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,MANDAGU,5,AGRICULTURAL,41,41.0,0.0,153.75,True,False,0.0,11.0,True,False,0.0,-0.7121832102220884,-0.7006003009390701,-0.21825327419646498,-0.709930815646895,0.0,0.12195121951219512,0.12195121951219512,0.004,0.032520325203252036,1.0
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,MIRZAGUDA,5,AGRICULTURAL,35,27.0,0.0,131.25,True,False,0.0,11.0,True,False,0.0,-0.7482447096783418,-0.7884032448224911,-0.21825327419646498,-0.7463091091644374,0.0,0.14285714285714285,0.18518518518518517,0.004,0.0380952380952381,1.2962962962962963
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,MUDMIYAL,5,AGRICULTURAL,316,310.0,128.0,1185.0,True,False,0.0,11.0,True,False,0.0,0.9406355148561909,0.9864705493923768,-0.11035107863964094,0.9574076372404651,4.859812404361672,0.015822784810126583,0.016129032258064516,0.0390625,0.004219409282700422,1.0193548387096774
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,NANCHERI,5,AGRICULTURAL,32,31.0,0.0,120.0,True,False,0.0,11.0,True,False,0.0,-0.7662754594064685,-0.763316689427228,-0.21825327419646498,-0.7644982559232086,0.0,0.15625,0.16129032258064516,0.004,0.041666666666666664,1.032258064516129
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,NARAYANADASS GUDA,5,AGRICULTURAL,72,72.0,0.0,270.0,True,False,0.0,11.0,True,False,0.0,-0.525865463031446,-0.5061794966257807,-0.21825327419646498,-0.5219762991395926,0.0,0.06944444444444445,0.06944444444444445,0.004,0.018518518518518517,1.0
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,NAYALTA,5,AGRICULTURAL,102,97.0,0.0,378.0,True,False,0.0,11.0,True,False,0.0,-0.3455579657501792,-0.34938852540538595,-0.21825327419646498,-0.34736049025538906,0.0,0.049019607843137254,0.05154639175257732,0.004,0.013227513227513227,1.0515463917525774
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,NOWLOYAPALLY,5,AGRICULTURAL,19,19.0,0.0,71.25,True,False,0.0,11.0,True,False,0.0,-0.8444087082283508,-0.8385763556130174,-0.21825327419646498,-0.8433178918778839,0.0,0.2631578947368421,0.2631578947368421,0.004,0.07017543859649122,1.0
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,PALGUTTA,5,AGRICULTURAL,111,110.0,0.0,416.25,True,False,0.0,11.0,True,False,0.0,-0.29146571656579917,-0.26785722037078075,-0.21825327419646498,-0.28551739127556697,0.0,0.04504504504504504,0.045454545454545456,0.004,0.012012012012012012,1.009090909090909
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,PAMEENA,5,AGRICULTURAL,234,234.0,0.0,872.0,True,False,0.0,11.0,True,False,0.0,0.4477950222873949,0.509825996882377,-0.21825327419646498,0.45134515408531967,0.0,0.021367521367521368,0.021367521367521368,0.004,0.005733944954128441,1.0
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,R GHANA POOR,5,AGRICULTURAL,204,191.0,0.0,763.5,True,False,0.0,11.0,True,False,0.0,0.26748752500612805,0.24014552638329809,-0.21825327419646498,0.2759209386785041,0.0,0.024509803921568627,0.02617801047120419,0.004,0.006548788474132285,1.068062827225131
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,RAMANNAGUDA,5,AGRICULTURAL,20,19.0,0.0,75.0,True,False,0.0,11.0,True,False,0.0,-0.8383984583189752,-0.8385763556130174,-0.21825327419646498,-0.8372548429582934,0.0,0.25,0.2631578947368421,0.004,0.06666666666666667,1.0526315789473684
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,SAIREDDY GUDA,5,AGRICULTURAL,17,17.0,0.0,61.5,True,False,0.0,11.0,True,False,0.0,-0.8564292080471019,-0.851119633310649,-0.21825327419646498,-0.8590818190688189,0.0,0.29411764705882354,0.29411764705882354,0.004,0.08130081300813008,1.0
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,SINGAPPA GUDA,5,AGRICULTURAL,32,32.0,0.0,120.0,True,False,0.0,11.0,True,False,0.0,-0.7662754594064685,-0.7570450505784122,-0.21825327419646498,-0.7644982559232086,0.0,0.15625,0.15625,0.004,0.041666666666666664,1.0
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,TALLARAM,5,AGRICULTURAL,71,70.0,0.0,266.25,True,False,0.0,11.0,True,False,0.0,-0.5318757129408216,-0.5187227743234122,-0.21825327419646498,-0.528039348059183,0.0,0.07042253521126761,0.07142857142857142,0.004,0.018779342723004695,1.0142857142857142
2019-05-31,CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,TANGADPELLY,5,AGRICULTURAL,166,164.0,625.0,619.5,True,False,0.0,11.0,True,False,0.0,0.039098028449856714,0.07081127746527181,0.3086129150458399,0.04309986016623272,6.439350371100098,0.030120481927710843,0.03048780487804878,0.008,0.008071025020177562,1.0121951219512195
